Scenario,Perturbation,Latency,Count,Tick
RecoveringLoss,"('station0', 4)",38.75855914365745,50.08,440.16
RecoveringLoss,"('station0', 5)",38.98239452396344,50.24,540.16
RecoveringLoss,"('station0', 6)",39.135508569385216,50.28,640.16
RecoveringLoss,"('station0', 7)",38.89949277578309,50.24,740.16
RecoveringLoss,"('station0', 8)",39.219666121717204,50.28,840.16
RecoveringLoss,"('station0', 9)",39.033167128273675,50.16,940.16
RecoveringLoss,"('station0', 10)",38.920925096831176,50.04,1040.16
RecoveringLoss,"('station0', 11)",39.07820056701926,49.88,1140.16
RecoveringLoss,"('station0', 12)",39.09280604181147,49.88,1240.16
RecoveringLoss,"('station0', 13)",38.99326206756057,49.96,1340.16
RecoveringLoss,"('station0', 14)",38.83723598423927,50.12,1440.16
RecoveringLoss,"('station0', 15)",39.050883043062804,50.16,1540.16
RecoveringLoss,"('station0', 16)",39.022955712130425,50.24,1640.16
RecoveringLoss,"('station0', 17)",38.98183799015049,50.32,1740.16
RecoveringLoss,"('station0', 18)",38.993388527746866,50.36,1840.16
RecoveringLoss,"('station0', 19)",29.229395300604793,37.96,1940.16
PrivacyPreserving,"('station2', 0)",48.8,1,53.04
PrivacyPreserving,"('station2', 1)",50.56,1,153.04
PrivacyPreserving,"('station2', 2)",100.76,1,253.04
PrivacyPreserving,"('station2', 3)",51.92,1,353.04
PrivacyPreserving,"('station2', 4)",44.56,0.96,453.04
PrivacyPreserving,"('station2', 5)",45.24,1,553.04
PrivacyPreserving,"('station2', 6)",47.68,0.96,653.04
PrivacyPreserving,"('station2', 7)",42.48,1,753.04
PrivacyPreserving,"('station2', 8)",50.16,1,853.04
PrivacyPreserving,"('station2', 9)",38.8,0.92,953.04
PrivacyPreserving,"('station2', 10)",53.0,1,1053.04
PrivacyPreserving,"('station2', 11)",44.52,1,1153.04
PrivacyPreserving,"('station2', 12)",50.36,0.96,1253.04
PrivacyPreserving,"('station2', 13)",52.08,0.96,1353.04
PrivacyPreserving,"('station2', 14)",46.0,0.96,1453.04
PrivacyPreserving,"('station2', 15)",48.64,1,1553.04
PrivacyPreserving,"('station2', 16)",45.2,1,1653.04
PrivacyPreserving,"('station2', 17)",46.64,0.96,1753.04
PrivacyPreserving,"('station2', 18)",41.48,0.92,1853.04
PrivacyPreserving,"('station2', 19)",15.8,0.44,1953.04
PrivacyPreserving,"('station4', 0)",62.12,1,54.92
PrivacyPreserving,"('station4', 1)",88.32,1,154.92
PrivacyPreserving,"('station4', 2)",50.2,1,254.92
PrivacyPreserving,"('station4', 3)",55.32,0.96,354.92
PrivacyPreserving,"('station4', 4)",42.08,0.92,454.92
PrivacyPreserving,"('station4', 5)",50.28,0.96,554.92
PrivacyPreserving,"('station4', 6)",46.88,0.88,654.92
PrivacyPreserving,"('station4', 7)",42.92,0.96,754.92
PrivacyPreserving,"('station4', 8)",51.84,1,854.92
PrivacyPreserving,"('station4', 9)",50.24,0.96,954.92
PrivacyPreserving,"('station4', 10)",46.2,1,1054.92
PrivacyPreserving,"('station4', 11)",42.24,0.96,1154.92
PrivacyPreserving,"('station4', 12)",46.24,1,1254.92
PrivacyPreserving,"('station4', 13)",50.12,0.96,1354.92
PrivacyPreserving,"('station4', 14)",54.48,1,1454.92
PrivacyPreserving,"('station4', 15)",47.56,0.96,1554.92
PrivacyPreserving,"('station4', 16)",46.32,0.96,1654.92
PrivacyPreserving,"('station4', 17)",42.8,0.92,1754.92
PrivacyPreserving,"('station4', 18)",51.28,0.96,1854.92
PrivacyPreserving,"('station4', 19)",15.4,0.48,1954.92
PrivacyPreserving,"('station3', 0)",47.44,1,45.8
PrivacyPreserving,"('station3', 1)",96.52,1,145.76
PrivacyPreserving,"('station3', 2)",200.0,1,245.76
PrivacyPreserving,"('station3', 3)",41.12,1,345.76
PrivacyPreserving,"('station3', 4)",40.28,1,445.76
PrivacyPreserving,"('station3', 5)",52.48,1,545.76
PrivacyPreserving,"('station3', 6)",39.16,1,645.76
PrivacyPreserving,"('station3', 7)",43.88,1,745.76
PrivacyPreserving,"('station3', 8)",47.36,0.96,845.76
PrivacyPreserving,"('station3', 9)",49.68,0.96,945.76
PrivacyPreserving,"('station3', 10)",40.8,0.96,1045.76
PrivacyPreserving,"('station3', 11)",40.48,1,1145.76
PrivacyPreserving,"('station3', 12)",43.84,1,1245.76
PrivacyPreserving,"('station3', 13)",39.2,0.96,1345.76
PrivacyPreserving,"('station3', 14)",43.28,1,1445.76
PrivacyPreserving,"('station3', 15)",44.36,1,1545.76
PrivacyPreserving,"('station3', 16)",51.08,1,1645.76
